titulo,poster,sinopse
O Jogo da Tentação,https://image.tmdb.org/t/p/w500/dtdZRfoNRNcH92wnRmIUqU2VVrW.jpg,"Um rapaz, que acabou de se tornar pai e luta contra a fadiga, inseguranças emocionais e um casamento fracassado, se inscreve em um aplicativo de namoro e encontra uma jovem atraente, que parece ter poderes inumanos."
Psicose,https://image.tmdb.org/t/p/w500/oC2iYT2on8c2iZnehah1l6AWqGu.jpg,"Marion Crane é uma secretária que rouba 40 mil dólares da imobiliária onde trabalha para se casar e começar uma nova vida. Durante a fuga à carro, ela enfrenta uma forte tempestade, erra o caminho e chega em um velho hotel. O estabelecimento é administrado por um sujeito atencioso chamado Norman Bates, que nutre um forte respeito e temor por sua mãe. Marion decide passar a noite no local, sem saber o perigo que a cerca."
La Leyenda de los Chaneques,https://image.tmdb.org/t/p/w500/4f9ghI3utknpeBZSAzNuIKKATOA.jpg,N/A
Las leyendas: El origen,https://image.tmdb.org/t/p/w500/fR49hZdFJ6ZtRS23JW79VYmZgI7.jpg,N/A
Michael Jackson: Thriller,https://image.tmdb.org/t/p/w500/dYHGoPMkZMVuBA4EydmDQMo1EEv.jpg,"Uma noite no cinema se transforma em um pesadelo quando Michael e seu par são atacados por uma horda de zumbis sedentos de sangue - apenas um ""Thriller"" pode salvá-los agora."
O Iluminado,https://image.tmdb.org/t/p/w500/47BdQqDWnj3VIzpH9bd2agho2PN.jpg,"Durante o inverno, um homem é contratado para ficar como vigia em um hotel no Colorado e vai para lá com a esposa e seu filho. Porém, o contínuo isolamento começa a lhe causar problemas mentais sérios e ele vai se tornado cada vez mais agressivo e perigoso, ao mesmo tempo que seu filho passa a ter visões de acontecimentos ocorridos no passado, que também foram causados pelo isolamento excessivo."
Alien: O Oitavo Passageiro,https://image.tmdb.org/t/p/w500/rJEU0u6hvtqBy344z0bpI194LeQ.jpg,"Quando a tripulação da sonda espacial Nostromo responde a um pedido de socorro vindo de um planeta inóspito, eles descobrem uma forma de vida mortal que se reproduz dentro de humanos. Agora, a tripulação deve lutar para permanecer viva e impedir que a criatura chegue até a Terra."
Abraham Lincoln Vampire Hunter: The Great Calamity,https://image.tmdb.org/t/p/w500/9kD8bohNKE1truudhmeOtOjfNeH.jpg,N/A
O Enigma de Outro Mundo,https://image.tmdb.org/t/p/w500/bazlgJAKWCBF7OllC3JtyJ2DV1n.jpg,"Na remota Antártida, um grupo de cientistas americanos é perturbado em sua base quando, de um helicóptero, alguém atira em um cão do acampamento. À medida que socorrem o cão baleado, o bicho começa a atacar os cientistas e os outros cachorros e logo eles descobrem que o animal pode assumir a forma de suas vítimas. Isto significa que membros da equipe podem ser mortos e a cópia assumir o lugar deles. Com isso, um piloto e um médico precisam capturar a fera antes que seja tarde demais."
Ghosts,https://image.tmdb.org/t/p/w500/aLMS2GWnJwkAADd8Dnl2dK1eg13.jpg,"Horripilantes personagens surrealistas, figuras ameaçadoras e sombras de um mundo místico são realidade em ""Ghosts"", um curta-metragem ao melhor estilo de Michael Jackson. Em ""Ghosts"", o Rei do Pop une uma história ambiciosa que convida à reflexão e os elementos fundamentais dos seus espetáculos: coreografias perfeitas e canções arrebatadoras."
